faction_code,rarity,stripped_title,rating
haas-bioroid,Faction Rare,Biotic Labor,1946.0
jinteki,Faction Rare,Celebrity Gift,1720.0
jinteki,Faction Rare,Trick of Light,1665.0
nbn,Faction Rare,Psychographics,1751.0
weyland-consortium,Faction Rare,Punitive Counterstrike,1826.0
neutral-corp,Rare,Subliminal Messaging,1620.0
haas-bioroid,Faction Rare,Big Deal,1670.0
jinteki,Faction Rare,Mitosis,1720.0
nbn,Faction Rare,Backroom Machinations,1530.0
weyland-consortium,Faction Rare,Extract,1671.0
weyland-consortium,Faction Rare,Mutually Assured Destruction,1696.0
weyland-consortium,Faction Common,Trust Operation,1444.0
haas-bioroid,Faction Rare,Distributed Tracing,1598.0
haas-bioroid,Faction Rare,Hypoxia,1563.0
jinteki,Faction Rare,Simulation Reset,1628.0
nbn,Faction Common,Nonequivalent Exchange,1467.0
nbn,Faction Rare,Shipment from Vladisibirsk,1592.0
weyland-consortium,Faction Rare,End of the Line,1865.0
