,code,deck_limit,faction_code,faction_cost,flavor,illustrator,influence_limit,keywords,minimum_deck_size,pack_code,position,quantity,side_code,stripped_text,stripped_title,text,title,type_code,uniqueness,base_link,cost,memory_cost,strength,advancement_cost,agenda_points,trash_cost,faction,name,nrdb_key,num_ratings,ranking,rating,side,torb_id
10,02071,3,haas-bioroid,2,Time just slips away.,JuanManuel Tumburus,,Code Gate,,asis,71,3,corp,"Subroutine The Runner loses click, if able. Subroutine The Runner loses click, if able. Subroutine The Runner loses click, if able.",Hourglass,"[subroutine] The Runner loses [click], if able.
[subroutine] The Runner loses [click], if able.
[subroutine] The Runner loses [click], if able.",Hourglass,ice,False,,5.0,,4.0,,,,haas-bioroid,Hourglass,02071,131,715,1331.0,corp,184
11,02073,3,jinteki,2,,Christina Davis,,Code Gate - Deflector - Psi,,asis,73,3,corp,"Subroutine You and the Runner secretly spend 0 credits, 1 credit or 2 credits. Reveal spent credits. If you and the Runner spent a different number of credits and this ice is installed, move this ice to the outermost position protecting another server. (The run continues from this new position.)",Bullfrog,"[subroutine] You and the Runner secretly spend 0[credit], 1[credit] or 2[credit]. Reveal spent credits. If you and the Runner spent a different number of credits and this ice is installed, move this ice to the outermost position protecting another server. <em>(The run continues from this new position.)</em>",Bullfrog,ice,False,,3.0,,4.0,,,,jinteki,Bullfrog,02073,131,883,1206.0,corp,186
12,02074,3,nbn,2,"Where one thing ends, another begins.",Liiga Smilshkalne,,Sentry - Tracer,,asis,74,3,corp,"Subroutine Trace[4]. If successful, the Runner cannot make another run this turn. Subroutine Trace[4]. If successful, end the run.",Uroboros,"[subroutine] Trace[4]. If successful, the Runner cannot make another run this turn.
[subroutine] Trace[4]. If successful, end the run.",Uroboros,ice,False,,6.0,,4.0,,,,nbn,Uroboros,02074,96,779,1291.0,corp,187
13,02096,3,nbn,1,Sniff.,Adam S. Doyle,,Sentry - Tracer - Observer,,hs,96,3,corp,"Subroutine Trace[2]. If successful, look at the top X cards of the stack, where X is equal to the amount by which your trace strength exceeded the Runner's link strength. Trash 1 of those cards and arrange the rest in any order.",Data Hound,"[subroutine] Trace[2]. If successful, look at the top X cards of the stack, where X is equal to the amount by which your trace strength exceeded the Runner's link strength. Trash 1 of those cards and arrange the rest in any order.",Data Hound,ice,False,,1.0,,2.0,,,,nbn,Data Hound,02096,94,882,1206.0,corp,209
14,03015,3,haas-bioroid,3,The realm beyond is still forbidden.,John Derek Murphy,,Barrier - Bioroid - AP,,cac,15,3,corp,Lose click click: Break up to 2 subroutines on this ice. Only the Runner can use this ability. Subroutine Do 1 core damage. Subroutine Do 1 core damage and end the run. Subroutine End the run.,Heimdall 2.0,"<strong>Lose [click][click]:</strong> Break up to 2 subroutines on this ice. Only the Runner can use this ability.
[subroutine] Do 1 core damage.
[subroutine] Do 1 core damage and end the run.
[subroutine] End the run.",Heimdall 2.0,ice,False,,11.0,,7.0,,,,haas-bioroid,Heimdall 2.0,03015,113,649,1373.0,corp,248
15,03017,3,haas-bioroid,3,The game has changed.,Liiga Smilshkalne,,Sentry - Bioroid - Destroyer - Tracer,,cac,17,3,corp,"Lose click click: Break up to 2 subroutines on this ice. Only the Runner can use this ability. Subroutine Trash 1 installed program. Subroutine Trash 1 installed program. Subroutine Trace[3]. If successful, do 1 core damage and give the Runner 1 tag.",Ichi 2.0,"<strong>Lose [click][click]:</strong> Break up to 2 subroutines on this ice. Only the Runner can use this ability.
[subroutine] Trash 1 installed program.
[subroutine] Trash 1 installed program.
[subroutine] Trace[3]. If successful, do 1 core damage and give the Runner 1 tag.",Ichi 2.0,ice,False,,8.0,,5.0,,,,haas-bioroid,Ichi 2.0,03017,125,448,1498.0,corp,250
16,03019,3,haas-bioroid,3,,Daniel Atanasov,,Code Gate - Bioroid - Tracer - AP,,cac,19,3,corp,"Lose click click: Break up to 2 subroutines on this ice. Only the Runner can use this ability. Hosted power counter: Do 1 core damage. Subroutine Trace[2]. If successful, place 1 power counter on this ice. Subroutine End the run.",Viktor 2.0,"<strong>Lose [click][click]:</strong> Break up to 2 subroutines on this ice. Only the Runner can use this ability.
<strong>Hosted power counter:</strong> Do 1 core damage.
[subroutine] Trace[2]. If successful, place 1 power counter on this ice.
[subroutine] End the run.",Viktor 2.0,ice,False,,5.0,,5.0,,,,haas-bioroid,Viktor 2.0,03019,111,636,1383.0,corp,252
17,03026,3,neutral-corp,0,"The principle behind ice is not to keep everyone out, but to let only some people in. This ice denies entry on all but a select few ports that might change with the time of day or picosecond of connection. If you don't know what port to use, you're not getting in. Period.",Ed Mattinian,,Barrier,,cac,26,3,corp,Subroutine End the run.,Bastion,[subroutine] End the run.,Bastion,ice,False,,4.0,,4.0,,,,neutral-corp,Bastion,03026,132,457,1492.0,corp,259
18,03027,3,neutral-corp,0,"""Cheap, off-the-shelf data protection. Cheap for them, that is. Not for us."" -Ele ""Smoke"" Scovak",Aaron Firem,,Code Gate,,cac,27,3,corp,"Subroutine The Runner must pay 2 credits, if able. If the Runner cannot pay 2 credits, end the run. Subroutine End the run.",Datapike,"[subroutine] The Runner must pay 2[credit], if able. If the Runner cannot pay 2[credit], end the run.
[subroutine] End the run.",Datapike,ice,False,,4.0,,2.0,,,,neutral-corp,Datapike,03027,115,626,1391.0,corp,260
19,04020,3,neutral-corp,0,"""The Grim of legend was one of many so-called 'black dog' myths common to Gaelic and English-speaking communities. What's fascinating is that it has propagated to the network, where it lives on as a program that, or so the story goes, hunts for the unwary."" -The Professor",Liiga Smilshkalne,,Sentry - Destroyer - Illicit,,om,20,3,corp,"When you rez Grim, take 1 bad publicity. Subroutine Trash 1 program.",Grim,"When you rez Grim, take 1 bad publicity.
[subroutine] Trash 1 program.",Grim,ice,False,,5.0,,5.0,,,,neutral-corp,Grim,04020,114,520,1455.0,corp,308
20,04030,3,haas-bioroid,5,,Christina Davis,,Barrier - Bioroid,,st,30,3,corp,Subroutine End the run unless the Runner spends click click. Subroutine End the run unless the Runner pays 3 credits. Subroutine End the run unless the Runner trashes 1 installed program. Subroutine End the run unless the Runner suffers 1 core damage.,Wotan,"[subroutine] End the run unless the Runner spends [click][click].
[subroutine] End the run unless the Runner pays 3[credit].
[subroutine] End the run unless the Runner trashes 1 installed program.
[subroutine] End the run unless the Runner suffers 1 core damage.",Wotan,ice,True,,14.0,,10.0,,,,haas-bioroid,Wotan,04030,112,686,1348.0,corp,318
21,04035,3,nbn,3,,Ed Mattinian,,Sentry - Tracer - Illicit,,st,35,3,corp,"When you rez Muckraker, take 1 bad publicity. Subroutine Trace[1]. If successful, give the Runner 1 tag. Subroutine Trace[2]. If successful, give the Runner 1 tag. Subroutine Trace[3]. If successful, give the Runner 1 tag. Subroutine End the run if the Runner is tagged.",Muckraker,"When you rez Muckraker, take 1 bad publicity.
[subroutine] Trace[1]. If successful, give the Runner 1 tag.
[subroutine] Trace[2]. If successful, give the Runner 1 tag.
[subroutine] Trace[3]. If successful, give the Runner 1 tag.
[subroutine] End the run if the Runner is tagged.",Muckraker,ice,False,,5.0,,3.0,,,,nbn,Muckraker,04035,99,818,1270.0,corp,323
22,04056,3,nbn,2,,Andreas Zafiratos,,Sentry - Tracer,,mt,56,3,corp,"When the Runner encounters Snoop, reveal all cards in the Runner's grip. Hosted power counter: Reveal all cards in the Runner's grip. Trash 1 of those cards. Subroutine Trace[3]. If successful, place 1 power counter on Snoop.",Snoop,"When the Runner encounters Snoop, reveal all cards in the Runner's grip.
<strong>Hosted power counter:</strong> Reveal all cards in the Runner's grip. Trash 1 of those cards.
[subroutine] Trace[3]. If successful, place 1 power counter on Snoop.",Snoop,ice,False,,6.0,,6.0,,,,nbn,Snoop,04056,105,803,1276.0,corp,344
23,04059,3,neutral-corp,0,It folds under pressure.,Ed Mattinian,,Barrier,,mt,59,3,corp,"When the Runner fully breaks this ice, trash it. Subroutine End the run.",Paper Wall,"When the Runner fully breaks this ice, trash it.
[subroutine] End the run.",Paper Wall,ice,False,,0.0,,1.0,,,,neutral-corp,Paper Wall,04059,122,540,1442.0,corp,347
24,04071,3,haas-bioroid,2,"As reported cases of brain damage in veterans rise, mind/machine interface devices are subject to increased public scrutiny. That certain programs can cause irreparable harm to users has gone from fringe theory to accepted truth.",Liiga Smilshkalne,,Sentry - AP - Illicit,,tc,71,3,corp,"When you rez this ice, take 1 bad publicity. Subroutine Do 1 core damage. Subroutine End the run.",Fenris,"When you rez this ice, take 1 bad publicity.
[subroutine] Do 1 core damage.
[subroutine] End the run.",Fenris,ice,False,,4.0,,2.0,,,,haas-bioroid,Fenris,04071,104,610,1402.0,corp,359
25,04077,3,nbn,2,"This ice disguises itself as a series of electronic transactions, tying up the runner's funds in a thousand or so non-existent purchases and refunds. The banks' system of holds and checks means that while not a single credit ever leaves their servers the runner has no available funds. RSVP also has the unfortunate side effect of being entirely legal…strictly speaking.",Christina Davis,,Code Gate,,tc,77,3,corp,Subroutine The Runner cannot spend any credits for the remainder of this run.,RSVP,[subroutine] The Runner cannot spend any credits for the remainder of this run.,RSVP,ice,False,,3.0,,4.0,,,,nbn,RSVP,04077,117,675,1353.0,corp,365
26,04078,3,weyland-consortium,2,"[subroutine] End the game.
Just kidding.",Adam S. Doyle,,Barrier,,tc,78,3,corp,"If Curtain Wall is the outermost piece of ice protecting a server, it has +4 strength. Subroutine End the run. Subroutine End the run. Subroutine End the run.",Curtain Wall,"If Curtain Wall is the outermost piece of ice protecting a server, it has +4 strength.
[subroutine] End the run.
[subroutine] End the run.
[subroutine] End the run.",Curtain Wall,ice,False,,14.0,,6.0,,,,weyland-consortium,Curtain Wall,04078,97,418,1522.0,corp,366
27,04115,3,jinteki,3,,Chris Newman,,Sentry - Tracer - AP - Illicit,,dt,115,3,corp,"When you rez Shinobi, take 1 bad publicity. Subroutine Trace[1]. If successful, do 1 net damage. Subroutine Trace[2]. If successful, do 2 net damage. Subroutine Trace[3]. If successful, do 3 net damage and end the run.",Shinobi,"When you rez Shinobi, take 1 bad publicity.
[subroutine] Trace[1]. If successful, do 1 net damage.
[subroutine] Trace[2]. If successful, do 2 net damage.
[subroutine] Trace[3]. If successful, do 3 net damage and end the run.",Shinobi,ice,False,,7.0,,5.0,,,,jinteki,Shinobi,04115,97,670,1356.0,corp,403
28,04120,3,neutral-corp,0,It wants to have two subroutines when it grows up.,Laura Wilson,,Code Gate,,dt,120,3,corp,Subroutine End the run.,Quandary,[subroutine] End the run.,Quandary,ice,False,,1.0,,0.0,,,,neutral-corp,Quandary,04120,121,223,1666.0,corp,408
29,05016,3,jinteki,2,"Trapped in their own reality, a paralyzed runner cannot even jack out.",Christina Davis,,Code Gate,,hap,16,3,corp,"Subroutine During the next encounter this run, the Runner cannot break subroutines on the encountered ice. Subroutine The Runner cannot jack out this run until after their next encounter with a piece of ice begins.",Inazuma,"[subroutine] During the next encounter this run, the Runner cannot break subroutines on the encountered ice.
[subroutine] The Runner cannot jack out this run until after their next encounter with a piece of ice begins.",Inazuma,ice,False,,3.0,,5.0,,,,jinteki,Inazuma,05016,132,468,1486.0,corp,424
30,05017,3,jinteki,4,,Liiga Smilshkalne,,Sentry - AP,,hap,17,3,corp,"When the Runner encounters this ice, it gains X ""Subroutine Do 1 net damage."" subroutines for the remainder of this run. X is equal to the number of cards in the grip.",Komainu,"When the Runner encounters this ice, it gains X ""[subroutine] Do 1 net damage."" subroutines for the remainder of this run. X is equal to the number of cards in the grip.",Komainu,ice,False,,5.0,,1.0,,,,jinteki,Komainu,05017,104,148,1747.0,corp,425
31,05018,3,jinteki,1,Yip Yip!,Liiga Smilshkalne,,Sentry - AP,,hap,18,3,corp,Subroutine Do 1 net damage unless the Runner pays 1 credit. Subroutine Do 1 net damage unless the Runner pays 1 credit.,Pup,"[subroutine] Do 1 net damage unless the Runner pays 1[credit].
[subroutine] Do 1 net damage unless the Runner pays 1[credit].",Pup,ice,False,,1.0,,0.0,,,,jinteki,Pup,05018,104,365,1560.0,corp,426
32,05020,3,jinteki,3,"Certain areas of cyberspace are dominated by a single digital entity. Runners call them 'gods', and only a miracle can save those foolish enough to enter their domain.",Falk,,Sentry - Deflector,,hap,20,3,corp,"Subroutine If the attacked server is not Archives, the Runner moves to the outermost position of Archives instead of passing this ice. The Runner cannot jack out this run until after they encounter a piece of ice.",Susanoo-no-Mikoto,"[subroutine] If the attacked server is not Archives, the Runner moves to the outermost position of Archives instead of passing this ice. The Runner cannot jack out this run until after they encounter a piece of ice.",Susanoo-no-Mikoto,ice,True,,9.0,,7.0,,,,jinteki,Susanoo-no-Mikoto,05020,103,390,1535.0,corp,428
33,05024,3,neutral-corp,0,"Out of the corner of his vision, a flash of light. He felt a thud as his grip on cyberspace loosened. Spider didn't like this. He should have bypassed the outer layer of ice by jacking in from the internal server. Another thud, and his whole frame shook with the resounding shockwave. He desperately reached for his shuriken…",Dan Maynard,,Sentry,,hap,24,3,corp,Guard cannot be bypassed. Subroutine End the run.,Guard,"Guard cannot be bypassed.
[subroutine] End the run.",Guard,ice,False,,4.0,,2.0,,,,neutral-corp,Guard,05024,133,482,1479.0,corp,432
34,05025,3,neutral-corp,0,The annual review of ice as published by the NSCA consistently gives top marks to the ice that provide the most impact in relation to their size and upkeep cost. Critics of the NSCA point to the bounce ratio as the most important stat when judging ice.,Ed Mattinian,,Sentry - Code Gate - Barrier,,hap,25,3,corp,Subroutine End the run.,Rainbow,[subroutine] End the run.,Rainbow,ice,False,,3.0,,4.0,,,,neutral-corp,Rainbow,05025,126,669,1357.0,corp,433
35,06009,3,weyland-consortium,2,"Taurus promised strength, but gave only rage.",Shawn Ye Zhongyi,,Sentry - Tracer,,up,9,3,corp,"Subroutine Trace[2]. If successful, trash 1 piece of hardware. If your trace strength is 5 or greater, trash 1 piece of hardware.",Taurus,"[subroutine] Trace[2]. If successful, trash 1 piece of hardware. If your trace strength is 5 or greater, trash 1 piece of hardware.",Taurus,ice,False,,5.0,,5.0,,,,weyland-consortium,Taurus,06009,116,663,1363.0,corp,472
36,06010,3,neutral-corp,0,"On the first day She breathed data into the void, and it hung suspended like jewelled stars. On the second day She spoke order into the data, and it flowed from rivulets into streams and from streams into mighty rivers. On the third day She gave independence to the order, and it ebbed and flowed according to its own accord. -The Cant of Helios",Liiga Smilshkalne,,Mythic,,up,10,3,corp,Mother Goddess gains the subtypes of all other rezzed ice. Subroutine End the run.,Mother Goddess,"Mother Goddess gains the subtypes of all other rezzed ice.
[subroutine] End the run.",Mother Goddess,ice,True,,4.0,,4.0,,,,neutral-corp,Mother Goddess,06010,123,222,1666.0,corp,473
37,06011,3,neutral-corp,1,He who bears the shield of honor.,Andreas Zafiratos,,Barrier - Grail,,up,11,3,corp,"When the Runner encounters Galahad, you may reveal up to 2 grail ice from HQ. For the remainder of this run, Galahad gains the subroutines of the revealed ice in the order of your choice. Subroutine End the run.",Galahad,"When the Runner encounters Galahad, you may reveal up to 2 <strong>grail</strong> ice from HQ. For the remainder of this run, Galahad gains the subroutines of the revealed ice in the order of your choice.
[subroutine] End the run.",Galahad,ice,False,,2.0,,1.0,,,,neutral-corp,Galahad,06011,102,420,1522.0,corp,474
38,06027,3,nbn,2,Throw enough data at a runner and it ceases to have any meaning at all.,Ed Mattinian,,Sentry - Tracer,,tsb,27,3,corp,"When the Runner encounters this ice, Trace[1]. If successful, give them 1 tag. This ice gains ""Subroutine The Runner trashes 1 of their installed cards."" for each tag the Runner has.",Information Overload,"When the Runner encounters this ice, Trace[1]. If successful, give them 1 tag.
This ice gains ""[subroutine] The Runner trashes 1 of their installed cards."" for each tag the Runner has.",Information Overload,ice,False,,6.0,,4.0,,,,nbn,Information Overload,06027,112,677,1352.0,corp,490
39,06041,3,haas-bioroid,2,"Created by merging the brainscans of over a hundred of the most intelligent people in Haas-Bioroid's cerebral database, its effectiveness is limited beither by its lack of imagination or the imagination of the sysops who employ it.",Eko Puteh,,Code Gate,,fc,41,3,corp,The rez cost of IQ is increased by 1 for each card in HQ. IQ has +1 strength for each card in HQ. Subroutine End the run.,IQ,"The rez cost of IQ is increased by 1 for each card in HQ.
IQ has +1 strength for each card in HQ.
[subroutine] End the run.",IQ,ice,False,,0.0,,0.0,,,,haas-bioroid,IQ,06041,120,634,1386.0,corp,504
40,06043,3,jinteki,2,"There are those who believe the nine-tailed fox is an angel in disguise. And then there are those who have followed, and discovered her secret...",Smirtouille,,Mythic - Trap,,fc,43,3,corp,"Subroutine You may choose 1 card in HQ. If you do, the Runner breaches HQ. During this breach, the Runner cannot access cards in the root of HQ, and the first card they access must be the chosen card. When the breach ends, trash this ice.",Kitsune,"[subroutine] You may choose 1 card in HQ. If you do, the Runner breaches HQ. During this breach, the Runner cannot access cards in the root of HQ, and the first card they access must be the chosen card. When the breach ends, trash this ice.",Kitsune,ice,False,,2.0,,3.0,,,,jinteki,Kitsune,06043,104,668,1358.0,corp,506
41,06047,3,weyland-consortium,2,,Wylie Beckert,,Code Gate - Morph,,fc,47,3,corp,"Wendigo can be advanced. While Wendigo has an odd number of advancement tokens on it, it gains barrier and loses code gate. Subroutine Choose a program. The Runner cannot use the chosen program for the remainder of this run.",Wendigo,"Wendigo can be advanced.
While Wendigo has an odd number of advancement tokens on it, it gains <strong>barrier</strong> and loses <strong>code gate</strong>.
[subroutine] Choose a program. The Runner cannot use the chosen program for the remainder of this run.",Wendigo,ice,False,,2.0,,4.0,,,,weyland-consortium,Wendigo,06047,103,839,1255.0,corp,510
42,06051,3,neutral-corp,1,He who wields the sword of valor.,Andreas Zafiratos,,Sentry - Grail - Destroyer,,fc,51,3,corp,"When the Runner encounters Lancelot, you may reveal up to 2 grail ice from HQ. For the remainder of this run, Lancelot gains the subroutines of the revealed ice in the order of your choice. Subroutine Trash 1 program.",Lancelot,"When the Runner encounters Lancelot, you may reveal up to 2 <strong>grail</strong> ice from HQ. For the remainder of this run, Lancelot gains the subroutines of the revealed ice in the order of your choice.
[subroutine] Trash 1 program.",Lancelot,ice,False,,4.0,,2.0,,,,neutral-corp,Lancelot,06051,127,577,1421.0,corp,514
43,06061,3,haas-bioroid,2,<strong>Designed by 2012 World Champion Jeremy Zwirn</strong>,Samuel R. Shimota,,Sentry,,uao,61,3,corp,"Players cannot trash this ice. Subroutine Look at the top 5 cards of R&D. You may install 1 of those cards, ignoring the install cost. Subroutine You may install 1 card from Archives or HQ.",Architect,"Players cannot trash this ice.
[subroutine] Look at the top 5 cards of R&D. You may install 1 of those cards, ignoring the install cost.
[subroutine] You may install 1 card from Archives or HQ.",Architect,ice,False,,4.0,,3.0,,,,haas-bioroid,Architect,06061,99,24,1949.0,corp,524
44,06064,3,jinteki,3,The way past is to go a different way.,Chris Newman,,Barrier,,uao,64,3,corp,"Ashigaru gains ""Subroutine End the run."" for each card in HQ.",Ashigaru,"Ashigaru gains ""[subroutine] End the run."" for each card in HQ.",Ashigaru,ice,False,,9.0,,4.0,,,,jinteki,Ashigaru,06064,111,657,1365.0,corp,527
45,06065,3,jinteki,2,,Eko Puteh,,Sentry - Psi - AP,,uao,65,3,corp,"Hosted power counter: Do 1 net damage. Use this ability only during a run. Subroutine Do 1 net damage. Subroutine You and the Runner secretly spend 0 credits, 1 credit, or 2 credits. Reveal spent credits. If you and the Runner spent a different number of credits, place 1 power counter on Mamba.",Mamba,"<strong>Hosted power counter:</strong> Do 1 net damage. Use this ability only during a run.
[subroutine] Do 1 net damage.
[subroutine] You and the Runner secretly spend 0[credit], 1[credit], or 2[credit]. Reveal spent credits. If you and the Runner spent a different number of credits, place 1 power counter on Mamba.",Mamba,ice,False,,6.0,,4.0,,,,jinteki,Mamba,06065,104,733,1319.0,corp,528
46,06067,3,nbn,1,"""It's a small one-time fee, apparently. Only I've paid it seventeen times.""",Ed Mattinian,,Trap,,uao,67,3,corp,"Subroutine If the Runner is not tagged, they lose 1 credit. If the Runner is tagged, they lose all credits in their credit pool and you trash this ice.",Universal Connectivity Fee,"[subroutine] If the Runner is not tagged, they lose 1[credit]. If the Runner is tagged, they lose all credits in their credit pool and you trash this ice.",Universal Connectivity Fee,ice,False,,2.0,,2.0,,,,nbn,Universal Connectivity Fee,06067,133,351,1568.0,corp,530
47,06069,3,weyland-consortium,2,,Wylie Beckert,,Barrier - Morph,,uao,69,3,corp,"Changeling can be advanced. While Changeling has an odd number of advancement tokens on it, it gains sentry and loses barrier. Subroutine End the run.",Changeling,"Changeling can be advanced.
While Changeling has an odd number of advancement tokens on it, it gains <strong>sentry</strong> and loses <strong>barrier</strong>.
[subroutine] End the run.",Changeling,ice,False,,5.0,,4.0,,,,weyland-consortium,Changeling,06069,125,750,1306.0,corp,532
48,06082,3,haas-bioroid,2,"Sagittarius promised foresight, but brought only regret.",Dan Maynard,,Sentry - Tracer - Destroyer,,atr,82,3,corp,"Subroutine Trace[2]. If successful, trash 1 program. If your trace strength is 5 or greater, trash 1 program.",Sagittarius,"[subroutine] Trace[2]. If successful, trash 1 program. If your trace strength is 5 or greater, trash 1 program.",Sagittarius,ice,False,,5.0,,4.0,,,,haas-bioroid,Sagittarius,06082,105,764,1299.0,corp,545
49,06084,3,jinteki,2,"Gemini promised pleasure, but dealt only pain.",Bruno Balixa,,Sentry - Tracer - AP,,atr,84,3,corp,"Subroutine Trace[2]. If successful, do 1 net damage. If your trace strength is 5 or greater, do 1 net damage.",Gemini,"[subroutine] Trace[2]. If successful, do 1 net damage. If your trace strength is 5 or greater, do 1 net damage.",Gemini,ice,False,,3.0,,5.0,,,,jinteki,Gemini,06084,112,890,1201.0,corp,547
50,06089,3,weyland-consortium,2,"""It's weird. I hit the server again and it was like a totally different piece of ice was waiting for me. Lost my root daemon. I shouldn't have nested them seven deep.""",Wylie Beckert,,Sentry - Destroyer - Morph,,atr,89,3,corp,"Lycan can be advanced. While Lycan has an odd number of advancement tokens on it, it gains code gate and loses sentry. Subroutine Trash 1 program.",Lycan,"Lycan can be advanced.
While Lycan has an odd number of advancement tokens on it, it gains <strong>code gate</strong> and loses <strong>sentry</strong>.
[subroutine] Trash 1 program.",Lycan,ice,False,,6.0,,3.0,,,,weyland-consortium,Lycan,06089,107,848,1243.0,corp,552
